game_id,season,week,home_team,away_team,provider,spread_home,over_under,openingSpread,formattedSpread
401112111,2019,11,Texas,Kansas State,numberfire,-7.0,57.0,,Texas -7
401112111,2019,11,Texas,Kansas State,consensus,-7.0,57.5,,Texas -7
401112111,2019,11,Texas,Kansas State,Caesars,-7.0,57.5,,Texas -7
401117541,2019,11,Boise State,Wyoming,Bovada,-16.5,48.0,,Boise State -16.5
401117541,2019,11,Boise State,Wyoming,teamrankings,-16.0,49.0,,Boise State -16
401117541,2019,11,Boise State,Wyoming,numberfire,-16.0,48.5,,Boise State -16
401117541,2019,11,Boise State,Wyoming,consensus,-16.5,48.0,,Boise State -16.5
401117541,2019,11,Boise State,Wyoming,Caesars,-16.0,48.0,,Boise State -16
401117902,2019,11,SMU,East Carolina,Bovada,-23.0,74.0,,SMU -23.0
401117902,2019,11,SMU,East Carolina,teamrankings,-23.0,74.0,,SMU -23
401117902,2019,11,SMU,East Carolina,numberfire,-21.5,74.0,,SMU -21.5
401117902,2019,11,SMU,East Carolina,consensus,-22.0,74.0,,SMU -22
401117902,2019,11,SMU,East Carolina,Caesars,-22.5,74.0,,SMU -22.5
401110843,2019,11,Arkansas,Western Kentucky,Bovada,0.0,51.0,,Western Kentucky -0.0
401110843,2019,11,Arkansas,Western Kentucky,teamrankings,1.0,51.0,,Western Kentucky -1
401110843,2019,11,Arkansas,Western Kentucky,numberfire,-1.0,51.0,,Arkansas -1
401110843,2019,11,Arkansas,Western Kentucky,consensus,-1.0,51.0,,Arkansas -1
401110843,2019,11,Arkansas,Western Kentucky,Caesars,-1.0,51.0,,Arkansas -1
401110844,2019,11,Florida,Vanderbilt,Bovada,-27.5,49.5,,Florida -27.5
401110844,2019,11,Florida,Vanderbilt,teamrankings,-26.5,50.0,,Florida -26.5
401110844,2019,11,Florida,Vanderbilt,numberfire,-27.0,49.0,,Florida -27
401110844,2019,11,Florida,Vanderbilt,consensus,-27.0,49.0,,Florida -27
401110844,2019,11,Florida,Vanderbilt,Caesars,-27.0,49.0,,Florida -27
401121967,2019,11,Texas State,South Alabama,Bovada,-7.0,41.0,,Texas State -7.0
401121967,2019,11,Texas State,South Alabama,teamrankings,-7.0,41.0,,Texas State -7
401121967,2019,11,Texas State,South Alabama,numberfire,-7.0,41.5,,Texas State -7
401121967,2019,11,Texas State,South Alabama,consensus,-7.0,41.5,,Texas State -7
401121967,2019,11,Texas State,South Alabama,Caesars,-7.0,42.5,,Texas State -7
401114353,2019,11,BYU,Liberty,Bovada,-17.5,62.5,,BYU -17.5
401114353,2019,11,BYU,Liberty,teamrankings,-17.0,61.0,,BYU -17
401114353,2019,11,BYU,Liberty,numberfire,-17.0,61.0,,BYU -17
401114353,2019,11,BYU,Liberty,consensus,-17.0,62.5,,BYU -17
401114353,2019,11,BYU,Liberty,Caesars,-17.5,62.5,,BYU -17.5
401112505,2019,11,Miami,Louisville,Bovada,-7.0,49.5,,Miami -7.0
401112505,2019,11,Miami,Louisville,teamrankings,-6.5,49.0,,Miami -6.5
401112505,2019,11,Miami,Louisville,numberfire,-6.5,49.0,,Miami -6.5
401112505,2019,11,Miami,Louisville,consensus,-6.5,49.0,,Miami -6.5
401112505,2019,11,Miami,Louisville,Caesars,-6.5,48.5,,Miami -6.5
401112503,2019,11,NC State,Clemson,Bovada,36.0,55.0,,Clemson -36.0
401112503,2019,11,NC State,Clemson,teamrankings,34.0,54.5,,Clemson -34
401112503,2019,11,NC State,Clemson,numberfire,34.0,54.0,,Clemson -34
